Address,City,ZIP,Distance,TravelTime,Lat,Long
1563 Silver Ranch Ln., San Jose, CA 95138 ,21946,2151,37.2886604,-121.8009745
87 Calypso Ln., Milpitas, CA 95035 ,19507,1703,37.4307911,-121.9009347
720 Cypress Ave., San Jose, CA 95117 ,2161,400,37.3137923,-121.9597679
3118 Alameda de las Pulgas, Menlo Park, CA 94025 ,28365,1407,37.4358137,-122.2097376
1107 Macias Ln., San Jose, CA 95120 ,25984,2181,37.1997996,-121.8365998
1675 Langport Dr., Sunnyvale, CA 94087 ,6477,577,37.338413,-122.0240317
14812 Gypsy Hill Rd., Saratoga, CA 95070 ,8862,1096,37.2533683,-122.0038293
3046 Rosato Ct., San Jose, CA 95135 ,21024,2139,37.3122708,-121.7808646
1109 Hunterston Pl, Cupertino, CA 95014 ,11611,839,37.3055016,-122.0423714
1109 Hunterston Pl, Cupertino, CA 95014 ,11611,839,37.3055016,-122.0423714
1474 De Palma Dr., San Jose, CA 95120 ,18762,1586,37.2233035,-121.8951911
1474 De Palma Dr., San Jose, CA 95120 ,18762,1586,37.2233035,-121.8951911
1390 McKenzie Ave., Los Altos, CA 94024 ,13200,868,37.356795,-122.0854033
585 South Sixteenth St., San Jose, CA 95112 ,10814,1156,37.3347349,-121.8685795
530 South Sixth St., San Jose, CA 95112 ,9555,1115,37.3306746,-121.8792561
2280 Woodard Rd., San Jose, CA 95124 ,11274,1036,37.2602243,-121.9433573
201 Thompson Sq., Mountain View, CA 94043 ,20625,1157,37.405742,-122.0988856
201 Thompson Sq., Mountain View, CA 94043 ,20625,1157,37.405742,-122.0988856
5996 Starwood Dr., San Jose, CA 95120 ,21368,1869,37.2343631,-121.8763768
232 Shumway Ln., Mountain View, CA 94041 ,15708,831,37.3909299,-122.0742587
285 Union Ave., Campbell, CA 95008,8855,1050,37.2827701,-121.9392364
1157 Kelsey Dr., Sunnyvale, CA 94087 ,11947,745,37.357558,-122.0563215
3729 Monte Sereno Ter., Fremont, CA 94539 ,31095,2064,37.4777112,-121.8984478
3729 Monte Sereno Ter., Fremont, CA 94539 ,31095,2064,37.4777112,-121.8984478
162 James Ave., Atherton, CA 94027 ,33209,2025,37.4749556,-122.1836081
216 Galli Dr., Los Altos, CA 94022 ,18654,1122,37.3822809,-122.1092625
1820 Zenato Pl., Pleasanton, CA 94566 ,58903,3638,37.646569,-121.8225133
2020 Monterey Ave., Menlo Park, CA 94025 ,28391,1466,37.4363785,-122.2076079
943 Cypress Ave., San Jose, CA 95117 ,2750,431,37.3096392,-121.9597567
17681 Foster Rd., Los Gatos, CA 95030 ,17118,1332,37.2119463,-121.9735403
1621 Geist Ct., San Jose, CA 95132 ,23802,2003,37.4142634,-121.844196
1621 Geist Ct., San Jose, CA 95132 ,23802,2003,37.4142634,-121.844196
290 Cuesta Dr., Los Altos, CA 94022 ,17279,939,37.3741301,-122.1087943
10171 Macadam Ln., Cupertino, CA 95014 ,6427,626,37.3207482,-122.0280452
5834 Marshwell Way, San Jose, CA 95138 ,27475,2229,37.2456138,-121.7845027
2931 Jerald Ave., Santa Clara, CA 95051 ,5042,758,37.3536911,-121.9798814
14190 Victor Pl., Saratoga, CA 95070 ,10241,1108,37.262143,-122.03127
11435 Charsan Ln., Cupertino, CA 95014 ,13376,1019,37.301852,-122.0443543
19103 Via Tesoro Ct., Saratoga, CA 95070 ,8212,1022,37.2600963,-122.0055533
19103 Via Tesoro Ct., Saratoga, CA 95070 ,8212,1022,37.2600963,-122.0055533
685 San Martin Pl., Los Altos, CA 94024 ,17332,1085,37.3782237,-122.0969044
591 Tangelo Ct., Fremont, CA 94539 ,38828,2416,37.5389932,-121.9308987
11996 Beauchamps Ln., Saratoga, CA 95070 ,13462,981,37.2935736,-122.0407624
3466 Belmont Terr., Fremont, CA 94539 ,32221,2160,37.4861258,-121.9022952
700 Canoas Creek Cir., San Jose, CA 95136 ,15136,1597,37.2812805,-121.8695377
1067 Avondale St., San Jose, CA 95129 ,6798,795,37.3075495,-122.0285921
43176 Palm Pl., Fremont, CA 94539 ,37974,2377,37.5307015,-121.9319248
3321 Belgrove Cir., San Jose, CA 95148 ,22978,2347,37.3257556,-121.7731455
4312 Strawberry Park Dr., San Jose, CA 95129 ,1267,259,37.3109997,-121.9790657
1491 De Rose Way  #202A, San Jose,CA 95126,7465,1002,37.305717,-121.919345
204 Vista Roma Way, San Jose, CA 95136 ,15854,1774,37.2756651,-121.8447239
3 Patricia Pl., Menlo Park, CA 94025 ,29435,1538,37.4423104,-122.1875905
682 Ridgeview Terrace, Fremont, CA 94536 ,35726,2817,37.5645933,-121.9710716
20160 Chateau Dr., Saratoga, CA 95070 ,7498,875,37.2807694,-122.0255951
7421 Tiptoe Ln., Cupertino, CA 95014 ,6843,916,37.3077444,-122.0346888
3 Patricia Pl., Menlo Park, CA 94025 ,29435,1538,37.4423104,-122.1875905
625 Spargur Dr., Los Altos, CA 94022 ,19261,1156,37.3872963,-122.0990565
1093 White Cliff Dr., San Jose, CA 95129 ,5592,653,37.3057911,-122.0140166
21105 Hazelbrook Dr., Cupertino, CA 95014 ,10351,657,37.3282823,-122.0435699
5683 Portrush Ct., San Jose, CA 95138 ,25291,2425,37.274681,-121.7672317
2517 Gerald Way, San Jose, CA 95125 ,14021,1512,37.2831041,-121.8882289
10115 Crescent Rd., Cupertino, CA 95014 ,10974,669,37.3248536,-122.0644773
15960 Romita Ct., Monte Sereno, CA 95030 ,10810,1283,37.236213,-122.0022166
847 Bruce Dr., Palo Alto, CA 94303 ,24754,1201,37.4369982,-122.1255599
14331 Chester Ave., Saratoga, CA 95070 ,8201,1004,37.2602867,-122.0064586
2088 Emory St., San Jose, CA 95128 ,4338,715,37.3291588,-121.9364665
15960 Romita Ct., Monte Sereno, CA 95030 ,10810,1283,37.236213,-122.0022166
P.O. Box 62, Cupertino, CA 95015 ,7667,648,37.3203133,-122.0299289
1121 Buckingham Dr., Los Altos, CA 94024 ,13612,912,37.3616311,-122.0836462
6430 Bancroft Way, San Jose, CA 95129 ,5960,678,37.303508,-122.0173689
14280 Saratoga Ave., Saratoga, CA 95070 ,8386,964,37.2607759,-122.0281507
14280 Saratoga Ave., Saratoga, CA 95070 ,8386,964,37.2607759,-122.0281507
4215 Verdigris Cir., San Jose, CA 95134 ,13448,1515,37.4141083,-121.9592782
16810 Loma St., Los Gatos, CA 95032 ,15919,1170,37.2293023,-121.9639991
16756 Littlefield Ln., Los Gatos, CA 95032 ,15926,1156,37.2272243,-121.9629785
513 Angus Dr., Milpitas, CA 95035 ,19902,1713,37.4391134,-121.8988725
4529 Jacksol Dr., San Jose, CA 95124 ,11812,1106,37.2547937,-121.9404012
39556 Sutter Dr., Fremont, CA 94538 ,31866,2286,37.5352362,-121.9885009
1047 Lupine Dr., Sunnyvale, CA 94086 ,7863,788,37.3608538,-122.0057659
1235 Heritage Ct., Los Altos, CA 94024 ,13435,931,37.3562734,-122.0796348
10235 Santa Clara Ave., Cupertino, CA 95014 ,9718,688,37.3260411,-122.0531415
39800 Fremont Blvd. #164, Fremont, CA 94538 ,32977,2451,37.5437184,-121.9755063
607 Jay St., Los Altos, CA 94022 ,19149,1146,37.3862323,-122.0997004
PO Box 2515, Cupertino, CA 95015-2515 ,7667,648,37.3203133,-122.0299289
209 Highland Terr., Los Gatos, CA 95030 ,16782,1289,37.2141958,-121.9741953
209 Highland Terr., Los Gatos, CA 95030 ,16782,1289,37.2141958,-121.9741953
682 Undajon Dr., San Jose, CA 95133 ,14744,1609,37.3692745,-121.8631831
1144 Lynhurst Way, San Jose, CA 95118 ,19502,1676,37.2658675,-121.8792954
5187 Redstone Dr, San Jose, CA 95124 ,13757,1097,37.2437818,-121.9453276
5836 Antigua Ct., San Jose, CA 95120 ,20279,1716,37.2413928,-121.8775314
18682 Aspesi Dr., Saratoga, CA 95070 ,6465,841,37.2702796,-121.9968334
907 Lake Tahoe Ct., San Jose, CA 95123 ,20672,1779,37.2434446,-121.8676402
20777 Hanford Dr., Cupertino, CA 95014 ,7515,639,37.327922,-122.0373836
718 Hebrides Way, Sunnyvale, CA 94087 ,6806,655,37.3427314,-122.021546
19884 Buckhaven Ln., Saratoga, CA 95070 ,7380,942,37.2747883,-122.0206353
1128 Northumberland Dr., Sunnyvale, CA 94087 ,11965,741,37.361321,-122.0584377
2141 Byron St., Palo Alto, CA 94301 ,25265,1249,37.4372573,-122.1370003
1040 Atkinson Ln., Menlo Park, CA 94025 ,28148,1410,37.4379147,-122.1949071
35301 Terra Cotta Cir., Fremont, CA 94536 ,47694,3230,37.583611,-122.0035793
350 Budd Ave. #K9, Campbell, CA 95008 ,5933,696,37.2806666,-121.9552467
12943 Pierce Rd., Saratoga, CA 95070 ,8411,955,37.2801645,-122.0366073
21550 Saratoga Heights, Saratoga, CA 95070 ,11541,1210,37.2595487,-122.0534307
20663 Cheryl Dr., Cupertino, CA 95014 ,8681,702,37.3163421,-122.0356842
7924 August Ln., Cupertino, CA 95014 ,10567,767,37.3137524,-122.048008
16360 S Kennedy Rd., Los Gatos, CA 95030 ,16895,1260,37.2207418,-121.9559441
4241 Christian Dr., San Jose, CA 95135 ,23597,2208,37.3062745,-121.7714664
1301 Glen Eyrie Ave., San Jose, CA 95125 ,7990,1054,37.3075775,-121.9099216
1929 Barossa Dr., San Ramon, CA 94582 ,69134,4693,37.763832,-121.8981153
14966 Sobey Rd., Saratoga, CA 95070 ,8876,1067,37.2511711,-122.001737
5933 Alpine Rd., Portola Valley, CA 94028 ,33297,1804,37.3462022,-122.2069495
2612 Meta Dr., San Jose, CA 95130 ,5886,864,37.2752394,-121.9834163
16395 Shady View Ln., Los Gatos, CA 95032 ,17059,1298,37.2302478,-121.9561951
5701 Algonquin Way, San Jose, CA 95138 ,24668,2332,37.2713959,-121.7669978
589 Vasona Ave., Los Gatos, CA 95032 ,8593,953,37.2607657,-121.9646157
2340 Perich Ct., Mountain View, CA 94040 ,15900,1068,37.3703145,-122.0724567
23020 Old Santa Cruz Ave., Los Gatos, CA 95033 ,28770,1957,37.1389988,-121.9748567
389 S. 16th St., San Jose, CA 95112 ,11209,1202,37.3375322,-121.8709054
5055 Tiberan Way, San Jose, CA 95130 ,4884,679,37.2865741,-121.9900372
6567 Rocky Crest Dr., San Jose, CA 95120 ,24308,2008,37.2261509,-121.8542399
6567 Rocky Crest Dr., San Jose, CA 95120 ,24308,2008,37.2261509,-121.8542399
14452 Nutwood Ln., Saratoga, CA 95070 ,8480,1037,37.2585963,-122.0182261
14401 Nutwood Lane, Saratoga, CA 95070 ,8426,1023,37.2590847,-122.0182039
1980 Quito Rd., Saratoga, CA 95070 ,4366,577,37.2860326,-121.9944088
15230 Fruitvale Ave., Saratoga, CA 95070 ,9390,1038,37.2469511,-122.0137622
10355 Colby Ave., Cupertino, CA 95014 ,6156,616,37.3281526,-122.018697
2345 Benton St., Santa Clara, CA 95050 ,3819,573,37.3463071,-121.9660853
1105 Wright Ave, Mtn. View, CA 94043 ,19730,1085,37.4005672,-122.0854618
2657 Burlingame Way, San Jose, CA 95121 ,19741,1995,37.3109148,-121.7943388
4189 Cherry Oaks Pl., Palo Alto, CA 94306 ,21630,1291,37.4056715,-122.1276019
13090 Pierce Rd., Saratoga, CA 95070 ,8744,982,37.2780264,-122.0382898
2900 Hearth Pl., Santa Clara, CA 95051,3103,497,37.340929,-121.9787065
1850 Cowper St., Palo Alto, CA 94301 ,25751,1326,37.4375288,-122.1421116
1850 Cowper St., Palo Alto, CA 94301 ,25751,1326,37.4375288,-122.1421116
24551 Summerhill Ave., Los Altos, CA 94024 ,15530,811,37.3622061,-122.1108382
271 De Anza Ln., Los Altos, CA 94022 ,17377,969,37.3749945,-122.1075893
27882 Via Ventana Way, Los Altos Hills, CA 94022 ,23348,1109,37.369767,-122.1667653
18306 Chelmsford Dr., Cupertino, CA 95014 ,4219,569,37.3124709,-121.9966265
18306 Chelmsford Dr., Cupertino, CA 95014 ,4219,569,37.3124709,-121.9966265
785 Mayten Tree Ct., Sunnyvale, CA 94086 ,8528,841,37.3635248,-122.0123255
2852 Sycamore Way, Santa Clara, CA 95051 ,2114,385,37.3308138,-121.9782555
1071 Five Ave., Palo Alto, CA 94301 ,26828,1364,37.4560871,-122.153757
949 Radcliffe Drive, San Jose, CA 95117 ,2708,490,37.3096351,-121.9587884
1078 Robbia Dr., Sunnyvale, CA 94087 ,8051,756,37.355634,-122.0218839
5599 Snowdon Pl., San Jose, CA 95138 ,25129,2425,37.2770049,-121.7563664
11782 Pine Brook Ln., Cupertino, CA 95014 ,13634,1044,37.2963769,-122.0440698
16370 Sanborn Rd., Saratoga, CA 95070 ,15273,1622,37.2315735,-122.0561806
2301 Grimsby Ct., San Jose, CA 95130 ,5536,754,37.2800564,-121.9887524
22888 Cricket Hill Rd., Cupertino, CA 95014 ,11708,818,37.3197254,-122.0753109
981 Kenneth Ave., Campbell, CA 95008 ,6775,884,37.272623,-121.9591784
848 Pagoda Tree Ct., Sunnyvale, CA 94086 ,8249,827,37.3606309,-122.0115033
917 Pramukhs Way, San Jose, CA 95120 ,24064,1986,37.2235688,-121.8491063
20341 Chateau Dr., Saratoga, CA 95070 ,7849,930,37.281093,-122.0294073
1533 Calaveras Ave., San Jose, CA 95126 ,6176,936,37.3291393,-121.9217734
5852 El Zuparko Drive #1, San Jose, CA 95123 ,21239,1808,37.246934,-121.8645586
24004 Oak Knoll Cir., Los Altos Hills, CA 94022 ,15928,796,37.3535106,-122.1209625
64 Rosewood Ln., Danville, CA 94506 ,80031,4922,37.8293862,-121.9164326
5 Big Tree Rd., Woodside, CA 94062 ,38506,2043,37.3770697,-122.2575319
979 November Dr., Cupertino, CA 95014 ,10892,784,37.3113334,-122.0472266
212 Granada Way, Los Gatos, CA 95032 ,8614,1086,37.2573348,-121.9813961
15318 Elm Park, Monte Sereno, CA 95030 ,9702,1213,37.2468731,-121.9867426
5260 Rucker Dr., San Jose, CA 95124 ,15468,1377,37.2423484,-121.9167837
13119 La Barranca Rd., Los Altos Hills, CA 94022 ,18522,1026,37.3696607,-122.1452798
16110 Matilija Dr., Los Gatos, CA 95030 ,10947,1279,37.234303,-122.0043304
10160 Hillcrest Rd., Cupertino, CA 95014 ,10995,677,37.3252744,-122.0652092
1575 Nobu Dr., San Jose, CA 95131 ,14279,1553,37.3854274,-121.8856246
11783 Trinity Spring Ct., Cupertino, CA 95014-5108 ,13924,1085,37.29584,-122.0424731
19170 Monte Vista Dr., Saratoga, CA 95070 ,10320,1155,37.2452588,-122.0073843
15215 Sobey Rd., Saratoga, CA 95070 ,9441,1081,37.2467168,-122.0016353
3844 Woodside Terrace, Fremont, CA 94539 ,31116,2066,37.4788633,-121.8974186
440 Radcliffe Dr., Santa Clara, CA 95051 ,2767,438,37.3313484,-121.9852018
1515 Arriba Ct., Los Altos, CA 94024 ,12882,837,37.3520574,-122.0932841
1515 Arriba Ct., Los Altos, CA 94024 ,12882,837,37.3520574,-122.0932841
2207 Quail Bluff Ct., San Jose, CA 95121 ,21168,2021,37.2985218,-121.7882711
400 Esther Ave., Campbell, CA 95008 ,5884,798,37.2928728,-121.9482098
5233 Nice Ct., San Jose, CA 95138 ,29604,2404,37.27715,-121.7798722
15095 Fruitvale Ave., Saratoga, CA 95070 ,9171,1022,37.2489224,-122.0137836
684 Timberpine Ave., Sunnyvale, CA 94086 ,7998,744,37.364624,-121.9996545
3109 Colebrook Ln., Dublin, CA 94568 ,68942,4413,37.7170659,-121.8592431
1050 Camino Ricardo, San Jose, CA 95125 ,8215,1095,37.3077004,-121.9067785
1050 Camino Ricardo, San Jose, CA 95125 ,8215,1095,37.3077004,-121.9067785
5746 Country Club Pkwy., San Jose, CA 95138 ,24926,2358,37.2729334,-121.7638968
3286 Patina Ct., San Jose, CA 95135 ,24960,2328,37.3067588,-121.7577423
3989 Chamberer Dr., San Jose, CA 95135 ,21829,2202,37.314764,-121.7718104
500 Almer Rd. #303, Burlingame, CA 94010 ,52877,2454,37.5787142,-122.3516195
2418 Pebble Beach Ct., San Jose, CA 95125 ,12936,1401,37.2889802,-121.8775582
1125 Littleoak Cir., San Jose, CA 95129 ,4634,603,37.3046806,-122.0004251
874 Pecan Ct., Sunnyvale, CA 94087 ,10391,930,37.358531,-122.0489368
809 W California Way, Woodside, CA 94062 ,37660,1564,37.4540846,-122.2709358
274 Palacio Royale Cir., San Jose, CA 95116 ,17219,1645,37.3588581,-121.8526442
6977 Rodling Dr. Unit A, San Jose, CA 95138 ,25845,2126,37.2357265,-121.7677529
150 Mimosa Way, Portola Valley, CA 94028 ,26242,1234,37.4010412,-122.2028471
1177 Waverley St., Palo Alto, CA 94301 ,26190,1327,37.441841,-122.152038
5291 Arezzo Dr., San Jose, CA 95138 ,24834,2360,37.2771161,-121.7765656
2032 Biarritz Pl., San Jose, CA 95138 ,25132,2420,37.2745684,-121.7657872
2032 Biarritz Pl., San Jose, CA 95138 ,25132,2420,37.2745684,-121.7657872
18175 Rodeo Creek Hollow, Saratoga, CA 95070 ,9195,1047,37.2773323,-122.0335368
2137 El Capitan Ave., Santa Clara, CA 95050 ,5538,762,37.3615747,-121.9658783
13930 Ravenwood Dr., Saratoga, CA 95070 ,6701,866,37.2659182,-121.9921846
11518 Murano Cir., Cupertino, CA 95014 ,12302,922,37.2999798,-122.0340222
13611 Wendy Ln., Saratoga, CA 95070 ,6781,867,37.2704376,-122.0109
13611 Wendy Ln., Saratoga, CA 95070 ,6781,867,37.2704376,-122.0109
260 Alba Ct., Los Altos, CA 94022 ,19687,1177,37.3934964,-122.1205696
11335 Eastbrook Ave., Los Altos Hills, CA 94024 ,15171,764,37.3452173,-122.0989424
19887 Lanark Ln., Saratoga, CA 95070 ,7416,956,37.2732206,-122.020645
19887 Lanark Ln., Saratoga, CA 95070 ,7416,956,37.2732206,-122.020645
12278 Beauchamps Ln., Saratoga, CA 95070 ,13918,1032,37.289864,-122.0389868
16630 Kennedy Rd, Los Gatos, CA 95032 ,16057,1153,37.2258729,-121.9610368
1019 Havre Ct., Sunnyvale, CA 94087 ,12367,795,37.342326,-122.0563782
2043 Seabrook Ct., Redwood City, CA 94065 ,43132,2645,37.5478383,-122.2370454
2043 Seabrook Ct., Redwood City, CA 94065 ,43132,2645,37.5478383,-122.2370454
1111 Petroni Way, San Jose, CA 95120 ,23907,2002,37.2138486,-121.8536647
15880 Lomas Ln., Los Gatos, CA 95030 ,10757,1283,37.2366518,-122.008601
1585 Laurelwood Crossing Pl., San Jose, CA 95138 ,21925,2192,37.2907967,-121.8004043
19298 Monte Vista Dr., Saratoga, CA 95070 ,9695,1106,37.2461967,-122.0100756
19298 Monte Vista Dr., Saratoga, CA 95070 ,9695,1106,37.2461967,-122.0100756
19370 Saratoga Los Gatos Rd., Saratoga, CA 95070 ,10653,1167,37.2445853,-122.0113401
10411 Glencoe Dr., Cupertino, CA 95014 ,7655,647,37.328993,-122.0403648
212 Monroe Dr., Mountain View, CA 94040 ,22114,1310,37.4096023,-122.114774
118 Ramona Rd., Portola Valley, CA 94028 ,31046,1469,37.3503049,-122.1974569
16370 Matilija Dr, Los Gatos, CA 95030 ,11625,1386,37.2305067,-122.007675
15395 Pepper Ln., Saratoga, CA 95070 ,10196,1175,37.2447209,-122.0193192
15395 Pepper Ln., Saratoga, CA 95070 ,10196,1175,37.2447209,-122.0193192
1504 Wendy Way, San Jose, CA 95125 ,10058,1235,37.2875869,-121.9004824
20586 Murano Circle, Cupertino, CA 95014 ,12222,896,37.2995714,-122.0331656
256 Casitas Bulevar, Los Gatos, CA 95032 ,7821,1007,37.2613017,-121.9858619
20488 Stevens Creek Blvd. # 2303, Cupertino, CA 95014 ,6466,580,37.322832,-122.0308942
45721 Tuscany Ct., Fremont, CA 94539 ,26860,1958,37.5025614,-121.9187781
474 Saratoga Ave. #202, San Jose, CA 95129 ,683,245,37.3193501,-121.971622
20708 Verde Vista Ln., Saratoga, CA 95070 ,9759,1046,37.2690541,-122.035958
6973 Glenview Dr., San Jose, CA 95120 ,24525,2073,37.2078086,-121.8526335
754 Bodega Ct., Fremont, CA 94539 ,26853,1980,37.5041096,-121.9128585
462 Saratoga Ave. #101, San Jose, CA 95129 ,504,179,37.3197585,-121.9726788
6170 W. Walbrook Dr., San Jose, CA 95129 ,5865,775,37.3004691,-122.0124237
11127 Palos Verdes Dr., Cupertino, CA 95014 ,11591,936,37.3066043,-122.0529777
908 Knightsbridge Ln., Redwood City, CA 94061 ,33466,1635,37.462409,-122.2204872
210 Golden Oak Dr., Portola Valley, CA 94028 ,28617,1316,37.3825047,-122.2027885
14751 Fruitvale Ave., Saratoga, CA 95070 ,8610,987,37.2539663,-122.0138091
1057 Oleander Ct, Sunnyvale, CA 94086 ,7781,811,37.3602582,-122.0041093
1260 Albion Ln., Sunnyvale, CA 94087 ,11018,656,37.3515272,-122.0615343
18805 Harleigh Dr., Saratoga, CA 95070-5246 ,8136,1013,37.2692953,-121.9996409
1264 Arabelle Way, San Jose, CA 95132 ,21017,1848,37.398313,-121.8484163
1787 Elizabeth St., San Carlos, CA 94070 ,41922,2066,37.4996218,-122.2640885
4466 Moran Dr., San Jose, CA 95129 ,1859,357,37.3066535,-121.98095
17179 Crescent Dr., Los Gatos, CA 95030 ,17896,1433,37.2188342,-121.9610753
27220 Ohlone Ln., Los Altos Hills, CA 94022 ,22968,1126,37.3941862,-122.1419362
27220 Ohlone Ln., Los Altos Hills, CA 94022 ,22968,1126,37.3941862,-122.1419362
124 Verona Ct., Los Gatos, CA 95030 ,9091,1146,37.2518811,-121.9891143
3032 Bellworth Ct., San Jose, CA 95135 ,23449,2271,37.3048511,-121.7741484
2222 Bentley Ridge Dr., San Jose, CA 95138 ,22140,2107,37.2931097,-121.7762229
4906 Moorpark Ave., San Jose, CA 95129 ,1847,325,37.3148397,-121.9904378
3828 W. Campbell Ave., Campbell, CA 95008 ,5478,691,37.286634,-121.9673141
693 Picasso Terr., Sunnyvale, CA 94087 ,8557,905,37.3531703,-122.0238458
1278 Briarberry Ct., San Jose, CA 95131 ,13939,1492,37.378668,-121.8789671
992 Warwick Ct., Sunnyvale, CA 94087 ,11582,713,37.3544469,-122.0531434
12577 Plymouth Dr., Saratoga, CA 95070 ,6675,866,37.2864096,-122.0144199
